comm_from,comm_to
0,272
18,716
29,31
71,72
72,72
79,99
84,88
117,111
131,213
132,497
142,142
149,191
189,196
220,230
231,246
249,421
255,421
256,421
261,277
283,300
292,306
293,306
304,226
319,325
344,337
347,817
362,600
387,183
430,481
442,943
457,497
473,476
475,497
517,78
524,111
526,111
529,88
535,536
540,540
547,817
557,41
578,337
583,585
587,587
588,587
597,597
657,669
678,679
680,679
709,418
718,808
742,782
743,345
801,352
807,169
818,154
858,866
884,911
905,902
929,497
932,933
998,246
