comm_from,comm_to
0,0
2,2
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
13,13
14,18
15,15
16,20
17,17
19,19
20,20
21,21
22,31
23,23
26,26
27,27
28,28
29,29
31,31
32,32
33,127
34,34
35,35
36,36
37,40
38,38
39,19
40,40
41,41
42,42
45,45
46,48
48,48
49,68
51,51
52,54
53,53
56,56
57,57
58,58
59,59
61,61
63,63
64,74
65,65
66,65
69,69
70,70
73,73
75,75
76,76
79,93
80,80
82,82
83,83
84,84
85,85
86,84
88,88
89,89
90,90
91,91
92,92
93,93
94,94
96,96
97,58
98,98
99,99
101,101
103,103
104,91
105,106
107,4
108,108
109,109
110,110
111,157
112,112
113,113
114,114
115,115
116,116
117,117
118,118
120,120
122,122
123,123
125,125
126,149
127,127
128,128
129,125
131,110
132,59
135,151
138,138
140,29
141,141
145,80
146,146
147,147
149,149
150,156
152,141
153,153
154,154
156,156
158,40
160,172
161,139
162,162
166,166
168,171
169,169
170,139
171,171
175,162
178,154
180,23
183,40
184,179
185,185
189,189
191,191
194,136
195,173
197,162
199,174
200,200
202,202
206,29
207,207
209,212
210,202
212,212
213,213
214,214
217,217
218,217
219,220
220,220
221,223
222,212
223,223
225,225
226,226
227,230
228,228
229,229
230,230
233,253
234,234
237,237
238,238
239,239
240,240
241,241
242,242
243,243
244,244
245,245
246,246
247,247
248,247
250,191
252,252
254,254
255,255
256,256
257,257
259,259
261,208
262,309
265,265
266,181
268,71
270,265
271,271
273,273
274,274
275,275
276,276
279,279
280,280
281,281
284,300
285,453
287,279
288,288
290,290
292,354
293,72
294,294
296,301
297,297
300,300
301,301
303,200
304,35
305,121
306,306
307,307
308,288
312,139
313,313
314,272
316,240
321,139
326,289
330,330
331,151
332,40
333,162
334,162
437,330
438,189
439,92
440,297
441,153
442,456
