comm,size
1,1
4,3
5,3
6,4
7,7
8,4
9,4
10,3
11,3
12,3
14,3
15,4
16,7
17,3
18,8
19,4
20,3
21,8
22,13
23,28
24,14
25,5
26,4
27,1
28,4
29,16
30,4
31,5
32,1
36,17
37,12
38,3
40,5
41,5
42,6
43,2
44,12
46,8
48,20
49,26
52,14
54,6
55,6
56,8
58,6
59,6
60,10
62,1
63,7
65,4
66,10
67,14
68,13
69,15
70,10
72,1
73,12
74,14
75,22
79,31
81,4
82,3
83,9
84,14
85,5
86,4
88,19
89,18
91,16
92,18
93,11
94,5
95,6
96,4
97,6
98,10
99,9
101,1
102,12
105,12
107,3
109,3
110,3
112,3
114,3
115,1
117,3
119,15
120,3
121,1
122,5
124,17
125,3
127,1
130,2
134,3
135,1
136,1
138,8
139,13
140,14
141,4
142,5
143,4
144,4
145,4
147,4
148,6
150,6
153,5
154,8
157,12
158,6
159,6
166,6
167,4
168,1
169,5
172,11
173,1
175,3
178,2
179,1
182,1
187,3
190,2
194,1
196,1
199,4
201,4
203,1
206,2
207,1
209,1
211,1
216,1
218,1
219,2
223,1
224,1
225,2
227,2
229,2
231,1
232,2
233,2
235,1
237,2
239,1
242,2
243,1
244,2
245,1
246,1
247,2
248,2
249,2
250,1
251,1
254,1
256,1
257,1
258,1
259,1
262,1
264,2
265,1
268,1
271,1
273,1
274,1
275,1
276,1
278,1
279,1
280,1
281,1
282,1
288,1
290,1
296,1
297,1
298,1
299,1
301,1
302,1
303,1
304,1
307,1
308,1
309,1
310,1
311,1
314,1
315,1
318,1
320,1
325,1
326,1
337,1
358,1
411,1
412,1
413,1
