comm_from,comm_to
0,0
14,84
26,72
29,29
76,71
92,131
126,117
135,132
146,142
153,149
163,304
165,131
184,557
233,231
266,249
268,255
279,261
302,292
324,319
326,319
353,344
370,578
374,347
382,362
403,557
424,524
435,249
441,557
446,597
466,457
509,475
512,473
523,517
527,517
534,524
542,540
592,801
596,583
602,587
608,597
670,657
688,678
692,743
701,79
704,709
724,18
728,718
771,742
817,547
823,818
828,807
848,283
856,117
866,858
890,884
894,249
908,905
940,932
949,442
950,473
967,998
