comm_from,comm_to
0,0
2,2
3,442
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,114
13,13
14,14
15,15
16,16
17,17
18,13
19,19
20,20
21,21
22,22
23,23
25,69
26,26
27,27
28,28
29,29
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,175
44,39
45,45
46,46
47,41
48,48
51,51
52,52
53,53
54,46
56,56
57,57
58,58
60,53
63,63
64,64
68,195
69,69
70,70
71,57
73,73
74,58
77,118
81,66
82,82
85,85
86,86
89,89
90,90
91,91
93,93
94,94
97,97
99,99
100,19
101,101
102,86
104,104
105,105
106,90
107,107
108,108
109,109
110,110
113,113
114,114
115,115
117,117
118,118
119,105
122,122
124,108
125,125
126,126
127,127
129,129
130,116
133,120
137,125
138,138
139,69
140,140
141,141
143,103
144,131
145,145
150,150
151,141
152,152
153,153
154,154
155,40
156,156
158,158
160,160
163,101
164,152
165,85
166,166
167,154
168,168
170,170
171,171
174,202
181,169
182,265
183,183
184,184
187,280
189,189
190,183
191,191
192,185
195,195
197,197
200,200
204,200
208,206
209,209
211,303
212,212
213,213
215,213
216,140
217,217
219,219
220,220
221,221
222,222
224,225
225,225
227,227
229,229
230,230
231,230
232,69
233,233
234,234
237,237
238,238
239,239
240,240
241,241
242,242
243,243
244,244
245,245
246,246
247,247
249,252
251,254
252,252
253,257
257,257
258,262
261,261
262,262
264,268
268,268
269,276
270,270
273,273
274,274
275,275
277,287
278,288
280,280
281,281
282,290
285,285
286,281
287,287
289,40
290,290
291,191
293,293
294,294
295,333
297,297
298,305
299,123
300,300
301,301
302,297
303,303
304,304
305,305
307,307
309,244
310,306
311,108
313,313
314,314
316,316
317,330
318,437
377,439
