comm,size
1,15
2,3
3,4
4,4
5,4
6,3
7,3
9,4
10,3
11,4
12,7
13,14
14,28
15,2
16,20
17,4
18,4
19,11
20,5
22,5
24,3
25,18
26,5
27,5
28,2
29,3
30,13
31,13
33,7
35,26
42,6
43,5
44,8
45,6
46,9
47,1
49,1
50,5
51,9
52,8
53,10
54,14
55,32
57,1
58,1
59,9
60,12
61,22
64,7
65,6
66,4
67,12
69,10
70,4
71,13
72,13
73,19
74,6
75,14
77,2
78,18
79,6
80,10
81,1
82,8
84,12
86,1
87,4
88,3
89,3
90,10
91,3
93,3
95,3
96,3
97,1
98,2
99,3
101,10
102,3
103,9
104,7
105,3
107,1
109,10
111,3
115,3
116,14
117,27
119,25
120,7
121,5
122,4
125,10
126,6
128,5
129,9
131,11
134,1
135,4
136,3
137,7
139,1
143,9
144,6
145,7
147,4
149,1
151,2
152,4
156,2
157,6
158,3
161,2
162,2
164,4
165,1
166,8
167,1
175,1
177,1
179,1
182,1
183,4
186,2
187,1
189,3
191,1
193,1
195,1
197,3
198,3
199,6
201,3
202,1
203,1
204,4
205,1
209,1
210,1
212,1
214,2
215,2
216,1
218,2
219,1
220,1
221,2
222,2
223,1
224,1
225,1
226,1
227,1
228,1
229,2
230,1
232,1
233,2
234,1
235,2
236,1
237,1
238,2
239,1
240,2
241,1
242,1
245,1
246,1
247,1
249,1
250,1
251,1
253,1
254,2
255,1
257,1
259,2
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
269,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
284,1
287,1
288,1
289,1
290,1
294,1
296,1
297,1
299,1
300,1
301,1
302,1
306,1
307,1
308,1
309,1
310,1
317,1
326,1
327,1
329,1
330,1
333,1
334,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
